Initialising login role...
Connecting to remote database...

  
   Local    | Remote | Time (UTC) 
  ----------|--------|------------
   20240210 |        | 20240210   
   20240215 |        | 20240215   
   20240216 |        | 20240216   
   20240217 |        | 20240217   
   20240217 |        | 20240217   
   20240217 |        | 20240217   
   20240217 |        | 20240217   
   20240224 |        | 20240224   
   20240226 |        | 20240226   
   20240226 |        | 20240226   
   20240226 |        | 20240226   
   20240227 |        | 20240227   
   20240227 |        | 20240227   
   20240301 |        | 20240301   
   20240301 |        | 20240301   
   20240301 |        | 20240301   
   20240301 |        | 20240301   
   20240302 |        | 20240302   
   20240302 |        | 20240302   
   20240302 |        | 20240302   
   20240302 |        | 20240302   
   20240303 |        | 20240303   
   20240303 |        | 20240303   
   20240304 |        | 20240304   
   20240306 |        | 20240306   
   20240308 |        | 20240308   
   20240308 |        | 20240308   
   20240308 |        | 20240308   
   20240308 |        | 20240308   
   20240308 |        | 20240308   
   20240308 |        | 20240308   
   20240309 |        | 20240309   

